2026-01-21 12:41:22,528 | INFO | Connecting to RabbitMQ at rabbitmq:5672
2026-01-21 12:41:22,762 | INFO | Consuming queue 'notification_queue'
2026-01-21 12:46:47,379 | INFO | Connecting to RabbitMQ at rabbitmq:5672
2026-01-21 12:46:47,485 | INFO | Consuming queue 'notification_queue'
2026-01-21 12:53:41,201 | INFO | Connecting to RabbitMQ at rabbitmq:5672
2026-01-21 12:53:41,346 | INFO | Consuming queue 'notification_queue'
2026-01-21 14:24:09,797 | INFO | Connecting to RabbitMQ at rabbitmq:5672
2026-01-21 14:24:09,932 | INFO | Consuming queue 'notification_queue'
2026-01-21 14:35:17,006 | INFO | Connecting to RabbitMQ at rabbitmq:5672
2026-01-21 14:35:17,085 | INFO | Consuming queue 'notification_queue'
2026-01-21 14:41:01,495 | INFO | Connecting to RabbitMQ at rabbitmq:5672
2026-01-21 14:41:01,710 | INFO | Consuming queue 'notification_queue'
2026-01-21 15:13:09,184 | INFO | Connecting to RabbitMQ at rabbitmq:5672
2026-01-21 15:13:09,337 | INFO | Consuming queue 'notification_queue'
2026-01-21 15:14:35,882 | WARNING | VK API error: {'error_code': 5, 'error_msg': 'User authorization failed: invalid access_token (4).', 'request_params': [{'key': 'method', 'value': 'notifications.sendMessage'}, {'key': 'oauth', 'value': '1'}, {'key': 'user_ids', 'value': '183594998'}, {'key': 'message', 'value': 'Alert: Metric CPU, value 31.858407079665, threshold 2, at 1769008474'}, {'key': 'v', 'value': '5.199'}]}
2026-01-21 15:14:36,020 | WARNING | VK API error: {'error_code': 5, 'error_msg': 'User authorization failed: invalid access_token (4).', 'request_params': [{'key': 'method', 'value': 'notifications.sendMessage'}, {'key': 'oauth', 'value': '1'}, {'key': 'user_ids', 'value': '183594998'}, {'key': 'message', 'value': 'Alert: Metric RAM, value 66.4940056145, threshold 2, at 1769008475'}, {'key': 'v', 'value': '5.199'}]}
2026-01-21 15:14:36,137 | WARNING | VK API error: {'error_code': 5, 'error_msg': 'User authorization failed: invalid access_token (4).', 'request_params': [{'key': 'method', 'value': 'notifications.sendMessage'}, {'key': 'oauth', 'value': '1'}, {'key': 'user_ids', 'value': '183594998'}, {'key': 'message', 'value': 'Alert: Metric DISK_READ, value 3868917.76, threshold 2, at 1769008475'}, {'key': 'v', 'value': '5.199'}]}
2026-01-21 15:14:36,257 | WARNING | VK API error: {'error_code': 5, 'error_msg': 'User authorization failed: invalid access_token (4).', 'request_params': [{'key': 'method', 'value': 'notifications.sendMessage'}, {'key': 'oauth', 'value': '1'}, {'key': 'user_ids', 'value': '183594998'}, {'key': 'message', 'value': 'Alert: Metric CPU, value 31.858407079665, threshold 2, at 1769008475'}, {'key': 'v', 'value': '5.199'}]}
